@relation 'GSPCext-weka.filters.unsupervised.attribute.Remove-R6-10,12-13,20,26-29,31-35-weka.filters.unsupervised.instance.RemoveRange-R1-19396'

@attribute Open numeric
@attribute High numeric
@attribute Low numeric
@attribute Close numeric
@attribute Volume numeric
@attribute Return numeric
@attribute '\%K14' numeric
@attribute '\%D3' numeric
@attribute 'Slow\%D3' numeric
@attribute Momentum numeric
@attribute ROC numeric
@attribute '\%R' numeric
@attribute MA5 numeric
@attribute MA10 numeric
@attribute Disparity5 numeric
@attribute Disparity10 numeric
@attribute OSCP numeric
@attribute CCI numeric
@attribute RSI numeric

@data
1166.219971,1171.77002,1157.709961,1171.109985,1834970000,0.004193,80.44355,83.265161,85.637446,14.72998,101.273801,19.55645,1172.029981,1165.919995,99.921504,100.445141,-0.521316,66.666667,51.855735
1171.109985,1173.369995,1157.76001,1159.359985,1995290000,-0.010033,50.831695,66.899157,78.080762,16.140014,101.411803,49.168305,1169.375977,1167.533997,99.143476,99.299891,-0.157518,66.666667,46.632083
1159.359985,1163.75,1146.180054,1154.050049,2188590000,-0.00458,37.449818,56.241688,68.802002,-2.799927,99.75797,62.550182,1165.915991,1167.254004,98.982264,98.868802,0.114761,-66.666667,44.43176
1154.050049,1165.75,1153.640015,1165.689941,1856860000,0.010086,66.784183,51.688565,58.27647,3.529907,100.303737,33.215817,1163.285986,1167.606995,100.206652,99.835813,0.371449,-66.666667,50.024178
1165.689941,1174.349976,1159.859985,1173.800049,1887260000,0.006957,87.222936,63.818979,57.249744,12.630005,101.087696,12.777064,1164.802002,1168.869995,100.772496,100.421779,0.349243,66.666667,53.500539
1173.800049,1187.900024,1173.800049,1185.560059,2266320000,0.010019,95.196138,83.067752,66.191766,9.910035,100.842941,4.803862,1167.692017,1169.860999,101.530202,101.341959,0.185749,66.666667,58.028231
1185.560059,1191.089966,1184.48999,1191.079956,1775860000,0.004656,99.977711,94.132262,80.339664,18.449951,101.573382,0.022289,1174.036011,1171.705994,101.45174,101.653483,-0.198462,66.666667,59.978527
1191.079956,1191.219971,1185.189941,1189.280029,1631750000,-0.001511,95.692838,96.955563,91.385192,17.930053,101.530717,4.307162,1181.082007,1173.498999,100.694111,101.344784,-0.642039,66.666667,59.019936
1189.280029,1197.439941,1188.76001,1193.859985,1681170000,0.003851,93.016067,96.228872,95.772232,15.020019,101.274136,6.983933,1186.716016,1175.001001,100.601995,101.605019,-0.987179,66.666667,60.741864
1193.859985,1195.290039,1189.869995,1194.069946,1681000000,0.000176,93.425668,94.044858,95.743098,27.849975,102.388055,6.574332,1190.769995,1177.785998,100.277127,101.38259,-1.090387,66.666667,60.822824
1194.069946,1194.069946,1185.959961,1190.01001,1742180000,-0.0034,85.50537,90.649035,93.640922,18.900025,101.613856,14.49463,1191.659985,1179.676001,99.86154,100.876004,-1.005655,66.666667,58.318813
1190.01001,1198.949951,1190.01001,1197.619995,1654110000,0.006395,97.479707,92.136915,92.276936,38.26001,103.300098,2.520293,1192.967993,1183.502002,100.389952,101.1929,-0.793482,66.666667,61.526962
1197.619995,1199.560059,1195.280029,1198.780029,1381430000,0.000969,98.538723,93.841266,92.209072,44.72998,103.875913,1.461277,1194.867993,1187.975,100.327403,100.909533,-0.576883,66.666667,62.004003
1198.780029,1198.780029,1191.5,1191.5,1840680000,-0.006073,84.900603,93.639677,93.205953,25.810059,102.214144,15.099397,1194.395996,1190.556006,99.757535,100.07929,-0.321501,66.666667,57.21408
1191.5,1205.640015,1191.030029,1202.219971,1810100000,0.008997,94.248156,92.562494,93.347813,28.419922,102.421189,5.751844,1196.026001,1193.397998,100.517879,100.739231,-0.219728,66.666667,61.908938
1202.27002,1204.670044,1198.420044,1204.290039,1813790000,0.001722,97.729605,92.292788,92.831653,18.72998,101.579842,2.270395,1198.882007,1195.270996,100.45109,100.754561,-0.301198,66.666667,62.751338
1204.290039,1205.089966,1194.550049,1196.02002,1627520000,-0.006867,81.50001,91.159257,92.004846,4.940064,100.414755,18.49999,1198.562012,1195.765002,99.787913,100.021327,-0.233364,66.666667,57.30795
1196.02002,1198.780029,1192.75,1197.51001,1547120000,0.001246,82.241154,87.156923,90.202989,8.229981,100.692014,17.758846,1198.308008,1196.588,99.933406,100.077053,-0.143536,66.666667,58.019407
1197.51001,1208.849976,1197.26001,1197.26001,1851370000,-0.000209,66.932981,76.891382,85.069187,3.400025,100.284793,33.067019,1199.46001,1196.928003,99.816584,100.027738,-0.211096,66.666667,57.845438
1197.26001,1201.969971,1193.329956,1194.670044,1715490000,-0.002163,41.790065,63.654733,75.901013,0.600098,100.050257,58.209935,1197.950025,1196.988013,99.726201,99.80635,-0.080305,66.666667,55.972587
1194.670044,1201.859985,1191.089966,1200.930054,1824120000,0.00524,66.526161,58.416402,66.320839,10.920044,100.917643,33.473839,1197.278028,1198.080017,100.305027,100.237884,0.066984,66.666667,59.401455
1200.930054,1202.790039,1192.640015,1198.109985,1664180000,-0.002348,53.080018,53.798748,58.623295,0.48999,100.040914,46.919982,1197.696021,1198.129016,100.034563,99.998412,0.036152,66.666667,57.249664
1198.109985,1206.030029,1194.51001,1200.819946,1661350000,0.002262,64.919071,61.508416,57.907856,2.039917,100.170166,35.080929,1198.358008,1198.333008,100.205443,100.207533,-0.002086,66.666667,58.79788
1200.819946,1207.530029,1200.180054,1203.910034,1698150000,0.002573,78.418791,65.472626,60.25993,12.410034,101.041547,21.581209,1199.688013,1199.574011,100.351927,100.361464,-0.009503,66.666667,60.548404
1203.910034,1208.079956,1198.660034,1206.579956,1840440000,0.002218,87.95104,77.0963,68.025781,4.359985,100.362661,12.04896,1202.069995,1200.01001,100.375183,100.547491,-0.17137,66.666667,62.04503
1206.550049,1212.099976,1205.469971,1210.959961,1776040000,0.00363,94.589379,86.986403,76.518443,6.669922,100.553847,5.410621,1204.075976,1200.677002,100.571723,100.85643,-0.282289,66.666667,64.42408
1210.930054,1219.550049,1210.930054,1216.959961,2407370000,0.004955,90.918351,91.152923,85.078542,20.939941,101.750802,9.081649,1207.845972,1202.770996,100.754566,101.17969,-0.420167,66.666667,67.425333
